rate,year
5.6,1974
8.5,1975
7.7,1976
7.1,1977
6.1,1978
5.9,1979
7.2,1980
7.6,1981
9.7,1982
9.6,1983
7.5,1984
7.2,1985
7.0,1986
6.2,1987
5.5,1988
5.3,1989
5.6,1990
6.9,1991
7.5,1992
6.9,1993
6.1,1994
5.6,1995
5.4,1996
4.9,1997
4.5,1998
4.2,1999
4.0,2000
4.7,2001
5.8,2002
6.0,2003
5.5,2004
5.1,2005
4.6,2006
4.6,2007
5.8,2008
9.3,2009
9.6,2010
8.9,2011
8.1,2012
